"posteam","plays","avg_epa","pass_epa","rush_epa","success_rate","pass_success_rate","rush_success_rate","pass_rate","rush_rate","avg_yards","avg_cpoe","avg_air_yards","avg_yac"
"LA",1260,0.144526091405678,0.221393267287219,0.0347793142800081,0.507142857142857,0.518218623481781,0.491329479768786,0.595238095238095,0.404761904761905,6.32777777777778,0.734178499243725,9.51685393258427,4.88546255506608
"BUF",1203,0.137576040950692,0.163585961046998,0.109823188064428,0.486284289276808,0.478260869565217,0.494845360824742,0.56359102244389,0.43640897755611,6.00083125519534,4.18658384255001,7.48415492957746,5.78841309823678
"GB",1063,0.12163467113248,0.24179900696714,-0.015212439697334,0.475070555032926,0.491166077738516,0.456740442655936,0.566321730950141,0.433678269049859,5.73471307619944,5.68650428908896,8.89887640449438,5.19034090909091
"DAL",1103,0.0969678748074684,0.160086793775736,0.00503074116549243,0.466001813236627,0.477064220183486,0.44988864142539,0.619220308250227,0.380779691749773,6.05530371713509,2.14334390996119,8.16747181964573,5.00954653937947
"NE",1267,0.0895660858681892,0.16605726995326,-0.00278302662476254,0.461720599842147,0.500721500721501,0.414634146341463,0.606945540647198,0.393054459352802,6.04735595895817,7.8635436501479,9.39967897271268,5.10904872389791
"DET",1050,0.0812783998735224,0.168060087493585,-0.0433570169172396,0.452380952380952,0.481421647819063,0.410672853828306,0.594285714285714,0.405714285714286,6.05238095238095,1.54438918828964,6.43793103448276,6.11928934010152
"CHI",1255,0.073620921613985,0.0894173079888583,0.0542051145599667,0.454183266932271,0.436416184971098,0.476021314387211,0.59203187250996,0.40796812749004,5.70438247011952,-3.92920825510256,8.89274924471299,5.53543307086614
"IND",1011,0.072121198829085,0.0558260633705479,0.0940496873811768,0.462908011869436,0.462068965517241,0.464037122969838,0.598417408506429,0.401582591493571,5.83184965380811,0.564346768946018,8.03853211009174,5.01944444444444
"SF",1180,0.0610531382030667,0.125441892877484,-0.0232444682102114,0.476271186440678,0.515695067264574,0.424657534246575,0.595762711864407,0.404237288135593,5.59067796610169,4.6658941214717,7.58675078864353,4.63364055299539
"SEA",1185,0.0447964933876836,0.133488203646443,-0.0470954332206187,0.459915611814346,0.512437810945274,0.405498281786942,0.523206751054852,0.476793248945148,5.91476793248945,4.50120538528217,8.04577464788732,5.46194225721785
"KC",1048,0.0348829105593765,0.0399257543135503,0.0272521326004228,0.444656488549618,0.443740095087163,0.446043165467626,0.658396946564885,0.341603053435114,5.2175572519084,-0.888184510944971,7.80206540447504,5.81267217630854
"BAL",956,0.0339564460097579,-0.0350269597064612,0.0995610726704888,0.445606694560669,0.452789699570815,0.438775510204082,0.526150627615063,0.473849372384937,5.92887029288703,2.99238369637684,8.16706443914081,4.89568345323741
"DEN",1203,0.0313581629292883,0.0574483558717988,-0.00753405015271493,0.433915211970075,0.429166666666667,0.440993788819876,0.633416458852868,0.366583541147132,5.30756442227764,-1.7271680452192,7.22206095791001,5.292343387471
"JAX",1127,0.0303586032931771,0.0574723576387767,-0.00450979479021061,0.447204968944099,0.463722397476341,0.425963488843813,0.602484472049689,0.397515527950311,5.42324755989352,-1.88633771919915,8.76610169491526,4.7707182320442
"PHI",1067,0.0213152745680441,0.0351573633472627,0.00555914946464502,0.431115276476101,0.431338028169014,0.430861723446894,0.573570759137769,0.426429240862231,5.26616682286785,2.28865288467292,9.04905660377358,4.29585798816568
"NYG",1079,0.0123298915239212,-0.00799364103163586,0.0356029626014577,0.420759962928638,0.407986111111111,0.435387673956262,0.581093605189991,0.418906394810009,5.26598702502317,-0.844298839332095,8.52,5.47058823529412
"WAS",978,0.00540907294757802,-0.00761256706830749,0.0191983043749262,0.456032719836401,0.461232604373757,0.450526315789474,0.579754601226994,0.420245398773006,5.55725971370143,0.680194146655224,8.63282937365011,4.97909407665505
"PIT",1032,-0.00622839832927865,-0.0141438859555236,0.0056352501952871,0.431201550387597,0.423263327948304,0.443099273607748,0.612403100775194,0.387596899224806,5.21414728682171,0.208237115125328,6.13745704467354,6.39164490861619
"CIN",1049,-0.00845372991290186,-0.0265921234178296,0.0245561959011737,0.454718779790276,0.454948301329394,0.454301075268817,0.658722592945662,0.341277407054337,5.35557673975214,1.21882745113812,7.38932496075353,4.6868932038835
"TB",1065,-0.00888118128646999,-0.0264036302375641,0.0138149217730291,0.423474178403756,0.422628951747088,0.424568965517241,0.604694835680751,0.395305164319249,5.12863849765258,-2.48304645146989,8.08617594254937,5.62678062678063
"MIA",942,-0.0168157021809636,-0.00928056926896628,-0.0260213598423187,0.41932059447983,0.436293436293436,0.398584905660377,0.565817409766454,0.434182590233546,5.43630573248408,1.65540621136174,7.0482180293501,5.59006211180124
"ARI",1074,-0.0185042731068144,0.00229755592490547,-0.0590792692950591,0.430167597765363,0.443661971830986,0.403846153846154,0.696461824953445,0.303538175046555,5.1610800744879,1.03382862367738,7.19135802469136,4.94379391100703
"ATL",1036,-0.021369288132402,-0.013172064414485,-0.031435126289242,0.437258687258687,0.446584938704028,0.425806451612903,0.565637065637066,0.434362934362934,5.48455598455598,-3.21660776531076,7.69188191881919,5.6355421686747
