"receiver_player_id","receiver_player_name","posteam","position","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0040187","M.Evans","CAR","TE",25,19,0.127661940268008,0.68,171,3.64,5.68421052631579,2,0,0,0,0,0,0
"00-0039847","T.Johnson","NYG","TE",74,45,0.119356367064909,0.405405405405405,528,8.32432432432432,4.15555555555556,5,0,0,0,0,0,0
"00-0034829","M.Gesicki","CIN","TE",43,28,0.101969772236774,0.558139534883721,307,9.95238095238095,2.25,2,0,0,0,0,0,0
"00-0037086","G.Calcaterra","PHI","TE",13,9,0.074909638085116,0.538461538461538,76,6.53846153846154,3.44444444444444,1,0,0,0,0,0,0
"00-0040584","G.Helm","TEN","TE",55,44,0.069717796831776,0.454545454545455,357,5.50909090909091,3.61363636363636,2,0,0,0,0,0,0
"00-0038720","J.Hill","MIA","TE",21,15,0.0569553332991498,0.523809523809524,140,3.3,7.4,0,0,0,0,0,0,0
"00-0033881","E.Engram","DEN","TE",77,50,0.0453413043163305,0.38961038961039,461,4.35526315789474,6.04,1,0,0,0,0,0,0
"00-0039041","E.Higgins","ARI","TE",37,30,0.0385860350467516,0.513513513513513,301,4,6.96666666666667,0,0,0,0,0,0,0
"00-0038129","C.Otton","TB","TE",82,59,0.037564946100034,0.48780487804878,572,5.17283950617284,5.23728813559322,2,0,0,0,0,0,0
"00-0034613","T.Hudson","CIN","TE",24,19,0.023589487529063,0.541666666666667,168,4.95833333333333,4.36842105263158,3,0,0,0,0,0,0
"00-0034753","M.Andrews","BAL","TE",70,48,0.0221092392335042,0.5,422,7.25714285714286,2.10416666666667,5,10,0.652073954662774,0.7,48,4.8,1
"00-0040663","H.Fannin","CLE","TE",108,72,0.0129643570798054,0.416666666666667,731,6.03738317757009,4.88888888888889,6,0,0,0,0,0,0
"00-0033858","J.Smith","PIT","TE",55,38,0.0098492265993533,0.454545454545455,222,4.33333333333333,4.71052631578947,2,0,0,0,0,0,0
"00-0033217","M.Alie-Cox","IND","TE",20,13,-0.0429634896630887,0.6,117,4.65,5.92307692307692,1,0,0,0,0,0,0
"00-0039530","B.Spann-Ford","DAL","TE",13,9,-0.04944017490981,0.538461538461538,90,8.23076923076923,3.66666666666667,1,0,0,0,0,0,0
"00-0038783","N.Adkins","DEN","TE",11,6,-0.0571102019642818,0.363636363636364,48,3.18181818181818,4.33333333333333,1,0,0,0,0,0,0
"00-0033885","D.Njoku","CLE","TE",48,33,-0.0753077571559954,0.479166666666667,293,5.27083333333333,4.84848484848485,4,0,0,0,0,0,0
"00-0036754","B.Wright","DET","TE",22,14,-0.0876829546349737,0.5,108,1,6.14285714285714,2,0,0,0,0,0,0
"00-0036637","N.Gray","KC","TE",38,21,-0.180376833312052,0.342105263157895,178,6.45945945945946,5.09523809523809,0,0,0,0,0,0,0
"00-0039066","M.Mayer","LV","TE",50,35,-0.196836765238968,0.46,328,4.8,5.6,1,0,0,0,0,0,0
"00-0035644","N.Fant","CIN","TE",41,34,-0.287409634739042,0.560975609756098,288,3.34146341463415,5.11764705882353,6,0,0,0,0,0,0
"00-0034270","T.Conklin","LAC","TE",10,7,-0.367963386870474,0.4,101,4.5,8.14285714285714,0,0,0,0,0,0,0
"00-0034981","F.Moreau","NO","TE",10,7,-0.373570500547066,0.6,59,1,6.28571428571429,1,0,0,0,0,0,0
"00-0036741","J.Stoll","NO","TE",11,6,-0.457648459504443,0.545454545454545,46,3.09090909090909,2.83333333333333,1,0,0,0,0,0,0
"00-0040739","E.Arroyo","SEA","TE",26,15,-0.624573318809134,0.423076923076923,179,8.46153846153846,5.2,1,0,0,0,0,0,0
