"passer_player_id","passer_player_name","posteam","passing_plays","avg_passing_epa","passing_success_rate","avg_cpoe","avg_air_yards","avg_yac","completions","incompletions","interceptions","passing_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0039851","D.Maye","NE",539,0.296484009996633,0.543599257884972,10.7812747390846,9.13211382113821,4.93220338983051,354,130,8,32,133,0.153396951980892,0.481203007518797,628,4.73684210526316,5
"00-0036264","J.Love","GB",461,0.240091863125564,0.496746203904555,5.53295734880034,8.837899543379,5.19243986254296,291,141,6,23,48,0.266598722603612,0.458333333333333,210,4.375,0
"00-0026498","M.Stafford","LA",617,0.229150070543831,0.53160453808752,1.59162590215946,9.13804713804714,4.7680412371134,388,198,8,48,34,-0.932811812991585,0.0882352941176471,16,0.470588235294118,0
"00-0037834","B.Purdy","SF",298,0.194468950837294,0.533557046979866,7.22850085619618,7.59859154929577,4.20812182741117,197,77,10,21,47,0.359409075483625,0.553191489361702,208,4.42553191489362,3
"00-0033106","J.Goff","DET",614,0.174477734113239,0.48371335504886,1.77659557743387,6.453125,6.13486005089058,393,175,8,34,19,-0.75916542476058,0.368421052631579,45,2.36842105263158,0
"00-0033077","D.Prescott","DAL",630,0.165174175823982,0.477777777777778,2.16455712200028,8.06030150753769,5.00247524752475,404,183,10,30,53,-0.177946126448859,0.415094339622642,177,3.33962264150943,2
"00-0035710","D.Jones","IND",409,0.139225804845638,0.496332518337408,2.29714193229062,8.04712041884817,5.14942528735632,261,113,8,19,45,0.359475725978788,0.577777777777778,161,3.64444444444444,5
"00-0033873","P.Mahomes","KC",537,0.12735750129926,0.478584729981378,0.336414833905581,8.1,6.01587301587302,315,174,11,23,64,0.455695218248366,0.609375,422,6.59375,5
"00-0036972","M.Jones","SF",304,0.126681702309476,0.523026315789474,3.67856692495964,7.42657342657343,4.76119402985075,201,79,6,13,37,-0.106123418332363,0.405405405405405,67,1.81081081081081,0
"00-0034869","S.Darnold","SEA",502,0.12559773528054,0.51792828685259,5.23820176489337,7.9154334038055,5.5046439628483,323,136,14,26,40,-0.368311821018608,0.45,109,2.725,0
"00-0034857","J.Allen","BUF",506,0.120754184779976,0.466403162055336,3.51485859142261,7.31808278867102,5.94670846394984,319,130,10,25,135,0.369851670725318,0.585185185185185,678,5.02222222222222,16
"00-0036442","J.Burrow","CIN",278,0.0991456405853938,0.489208633093525,4.65429821201871,7.21235521235521,4.72832369942197,173,81,5,21,14,0.254656712445597,0.5,41,2.92857142857143,0
"00-0039732","B.Nix","DEN",638,0.0907907423544671,0.442006269592476,-1.1956391265012,7.34369885433715,5.39432989690722,388,212,11,25,95,0.085276406118633,0.442105263157895,385,4.05263157894737,5
"00-0039163","C.Stroud","HOU",446,0.0871833491535668,0.455156950672646,0.357673352495988,8.10714285714286,5,273,139,8,19,51,0.29053288995242,0.490196078431373,220,4.31372549019608,2
"00-0039918","C.Williams","CHI",594,0.0714501910282369,0.432659932659933,-3.50543139891933,8.65724381625442,5.48787878787879,330,229,7,28,86,0.121623540832997,0.5,443,5.15116279069767,3
"00-0036971","T.Lawrence","JAX",600,0.0546607160733637,0.461666666666667,-1.88176378552966,8.754039497307,4.78299120234604,341,204,12,31,89,0.258151061193858,0.561797752808989,390,4.40449438202247,9
"00-0036389","J.Hurts","PHI",486,0.0528336304028123,0.432098765432099,3.18333108754571,9.00884955752212,4.30272108843537,294,152,6,25,110,0.172668066298028,0.5,435,3.95454545454545,8
"00-0032950","C.Wentz","MIN",188,0.0339291266706718,0.48936170212766,1.11124149020414,7.66666666666667,5.20909090909091,110,53,5,7,11,-0.295297156008798,0.272727272727273,57,5.18181818181818,0
"00-0026158","J.Flacco","CIN",264,0.0324355528367685,0.458333333333333,-1.90959779545665,7.43083003952569,4.72151898734177,158,91,4,16,15,0.368567716944874,0.533333333333333,22,1.46666666666667,1
"00-0035228","K.Murray","ARI",177,0.0323197238742283,0.435028248587571,-0.52878065094067,5.84472049689441,4.95454545454545,110,48,3,6,29,0.140991302626609,0.448275862068966,173,5.96551724137931,1
"00-0023459","A.Rodgers","PIT",527,0.0267395962778104,0.430740037950664,0.0416869013491323,6.06854838709677,6.48012232415902,327,162,7,25,21,-0.140533670176186,0.238095238095238,61,2.9047619047619,1
"00-0034796","L.Jackson","BAL",338,0.0203053663541032,0.455621301775148,1.75868267129207,8.82666666666667,5.54166666666667,192,101,7,22,67,0.307592811807772,0.492537313432836,349,5.2089552238806,2
"00-0036212","T.Tagovailoa","MIA",415,0.0191771446478445,0.448192771084337,2.02027069843881,6.84031413612565,5.42307692307692,260,107,15,21,20,-0.373499343140402,0.15,43,2.15,0
"00-0036355","J.Herbert","LAC",566,0.00796174879953054,0.452296819787986,1.57492858195594,7.833984375,4.87352941176471,340,159,13,27,94,0.18666702966484,0.585106382978723,555,5.92553191489362,2
"00-0039917","M.Penix","ATL",290,-0.00384245885078829,0.451724137931034,-3.61966759417996,8.33333333333333,5.34939759036145,166,107,3,10,21,0.338659048497599,0.428571428571429,70,3.33333333333333,1
"00-0034855","B.Mayfield","TB",584,-0.00577064182038994,0.431506849315068,-2.11614655928096,8.12915129151292,5.6064139941691,343,188,11,27,55,0.649481252227469,0.581818181818182,382,6.94545454545455,1
"00-0032268","M.Mariota","WAS",244,-0.00771055032868731,0.471311475409836,3.19710616554533,10.1955555555556,4.59712230215827,139,79,7,11,50,0.133916846635719,0.46,297,5.94,1
"00-0033119","J.Brissett","ARI",530,-0.0119693328488127,0.447169811320755,1.63531999228037,7.63842975206612,4.94285714285714,315,161,8,25,38,0.196389365366683,0.578947368421053,168,4.42105263157895,1
"00-0040691","J.Dart","NYG",375,-0.0208015079365337,0.416,-0.193102200342891,8.20414201183432,5.375,216,117,5,15,86,0.44330287294103,0.616279069767442,487,5.66279069767442,9
"00-0029604","K.Cousins","ATL",281,-0.0228004829677663,0.441281138790036,-2.79932229542265,7.02631578947368,5.92168674698795,166,95,5,11,14,-0.178029897292228,0.357142857142857,7,0.5,1
