"receiver_player_id","receiver_player_name","posteam","position","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0039424","D.Vele","NO","WR",40,25,0.420288630557846,0.6,293,11.0769230769231,1.36,2,0,0,0,0,0,0
"00-0033555","M.Hollins","NE","WR",65,46,0.418470644601025,0.630769230769231,550,13.0923076923077,2.34782608695652,2,0,0,0,0,0,0
"00-0040138","J.Noel","HOU","WR",35,26,0.404999180580791,0.485714285714286,292,9.34285714285714,3.80769230769231,2,0,0,0,0,0,0
"00-0037816","R.Doubs","GB","WR",86,55,0.402854332094071,0.558139534883721,724,12.7647058823529,2.96363636363636,6,0,0,0,0,0,0
"00-0038840","B.Tremayne","CAR","WR",18,14,0.395461907129412,0.666666666666667,160,8.72222222222222,4.14285714285714,0,0,0,0,0,0,0
"00-0039064","Z.Flowers","BAL","WR",119,86,0.389783215616825,0.571428571428571,1211,10.2033898305085,5.32558139534884,5,10,0.249965554429218,0.5,62,6.2,1
"00-0033307","K.Bourne","SF","WR",53,37,0.387676894144544,0.641509433962264,551,11.0188679245283,4.45945945945946,0,0,0,0,0,0,0
"00-0038559","Mi.Wilson","ARI","WR",60,41,0.386504140259584,0.533333333333333,459,10.8166666666667,3.17073170731707,1,0,0,0,0,0,0
"00-0040667","M.Golden","GB","WR",44,29,0.381791944377613,0.522727272727273,361,12.5454545454545,3.48275862068966,0,10,0.16796603409457,0.5,49,4.9,0
"00-0040237","T.Johnson","TB","WR",44,28,0.371418049664777,0.5,322,11.7272727272727,3.92857142857143,5,0,0,0,0,0,0
"00-0034348","C.Sutton","DEN","WR",125,74,0.364751335769414,0.536,1017,12.4354838709677,3,7,0,0,0,0,0,0
"00-0036410","T.Higgins","CIN","WR",99,59,0.363503702928263,0.545454545454545,846,13.4081632653061,2.8135593220339,13,0,0,0,0,0,0
"00-0040727","T.Harris","LAC","WR",43,30,0.356448424258083,0.604651162790698,324,9.25581395348837,4.63333333333333,1,0,0,0,0,0,0
"00-0040024","D.Cooper","PHI","WR",11,9,0.353373583414147,0.545454545454545,92,9.90909090909091,2.44444444444444,0,0,0,0,0,0,0
"00-0036613","J.Waddle","MIA","WR",100,64,0.344516600557987,0.56,910,13.06,3.5625,6,0,0,0,0,0,0
"00-0034837","C.Ridley","TEN","WR",36,17,0.339478473107369,0.416666666666667,303,12.5833333333333,4.94117647058824,1,0,0,0,0,0,0
"00-0035640","D.Metcalf","PIT","WR",99,59,0.332584235490183,0.505050505050505,850,10.5454545454545,7.01694915254237,6,0,0,0,0,0,0
"00-0036554","N.Collins","HOU","WR",121,71,0.324877680352412,0.487603305785124,1117,12.7416666666667,4.56338028169014,6,0,0,0,0,0,0
