"receiver_player_id","receiver_player_name","posteam","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns"
"00-0038359","X.Smith","LA",24,18,0.913955832773354,0.666666666666667,303,16.875,5.94444444444444,0
"00-0038996","T.Kraft","GB",44,32,0.889179018875769,0.636363636363636,489,4.56818181818182,10.75,6
"00-0038115","D.Bellinger","NYG",26,19,0.869134065481306,0.730769230769231,286,9.38461538461539,6.94736842105263,2
"00-0039855","J.McMillan","TB",15,12,0.832652085108042,0.666666666666667,178,11.9333333333333,4.91666666666667,0
"00-0035645","G.Olszewski","NYG",13,10,0.816145421562469,0.769230769230769,145,10,7.4,1
"00-0031610","D.Waller","MIA",35,24,0.807606714760605,0.6,283,10.5588235294118,3.04166666666667,6
"00-0038608","K.Boutte","NE",46,33,0.801311764699714,0.717391304347826,551,16.9782608695652,1.15151515151515,6
"00-0038933","D.Kincaid","BUF",50,39,0.787768063253648,0.62,571,9.48979591836735,6.64102564102564,5
"00-0040194","J.Hawes","BUF",19,16,0.780697857152278,0.736842105263158,187,7.31578947368421,5.6875,3
"00-0039065","S.LaPorta","DET",49,40,0.743425353321447,0.673469387755102,489,5.6530612244898,6.85,3
"00-0038104","T.Thornton","KC",37,19,0.709408994940867,0.486486486486487,438,26.8918918918919,3.10526315789474,3
"00-0039075","P.Nacua","LA",166,129,0.696990413572364,0.704819277108434,1715,9.43373493975904,5.16279069767442,11
"00-0031588","S.Diggs","NE",102,85,0.689905626359074,0.676470588235294,1013,8.53921568627451,4.16470588235294,4
"00-0040277","J.Walker","CHI",10,6,0.685354032035684,0.6,87,13,1.33333333333333,2
"00-0033040","T.Hill","MIA",29,21,0.683951552094217,0.655172413793103,265,13.7586206896552,2.71428571428571,1
"00-0033288","G.Kittle","SF",69,57,0.671305262707301,0.681159420289855,628,6.66666666666667,4.42105263157895,7
"00-0037664","A.Pierce","IND",84,47,0.664037060219474,0.535714285714286,1003,18.9642857142857,3.70212765957447,6
"00-0040669","I.TeSlaa","DET",27,16,0.660412331139636,0.555555555555556,239,13.037037037037,3.4375,6
"00-0032392","A.Hooper","NE",26,21,0.646068939200352,0.730769230769231,263,9,4.09523809523809,2
"00-0037247","G.Pickens","DAL",137,93,0.640070885256234,0.635036496350365,1429,11.2919708029197,5.1505376344086,9
"00-0038621","D.Douglas","NE",46,31,0.611788094478193,0.565217391304348,447,9.67391304347826,6.90322580645161,3
"00-0036427","T.Johnson","NYJ",18,12,0.587726527790549,0.444444444444444,197,11.6666666666667,5.33333333333333,1
"00-0038124","C.Watson","GB",55,35,0.586778799610252,0.618181818181818,611,17.7636363636364,3.37142857142857,6
"00-0035021","A.Dulin","IND",10,5,0.575945951923495,0.4,106,15.8,10.6,0
"00-0036196","G.Davis","BUF",18,12,0.573952943985609,0.611111111111111,129,8.83333333333333,2.5,1
"00-0040126","C.Loveland","CHI",83,58,0.572362635137875,0.590361445783133,713,9.09756097560976,4.31034482758621,6
"00-0031236","B.Cooks","BUF",11,5,0.56436274560507,0.454545454545455,114,25.9090909090909,1.2,0
"00-0039355","L.McCaffrey","WAS",15,11,0.559887358063186,0.666666666666667,203,14.5333333333333,6.27272727272727,3
"00-0038543","J.Smith-Njigba","SEA",163,119,0.556272061624747,0.631901840490798,1793,11.2453987730061,4.43697478991597,10
"00-0037240","J.Williams","DET",102,65,0.550670926706313,0.558823529411765,1109,12.6372549019608,6.66153846153846,7
"00-0032398","C.Moore","WAS",23,11,0.534036086533377,0.521739130434783,207,14.4347826086957,4.81818181818182,1
"00-0038679","T.Shavers","BUF",23,15,0.53363037425721,0.608695652173913,245,12.9565217391304,4.26666666666667,1
"00-0035659","T.McLaurin","WAS",60,38,0.529163775675029,0.616666666666667,582,13.9833333333333,2.44736842105263,3
"00-0035249","J.Oliver","MIN",20,15,0.526672455085651,0.6,160,3.36842105263158,6.8,4
"00-0039146","J.Reed","GB",22,19,0.524977846802497,0.5,207,8.13636363636364,4.47368421052632,1
"00-0038935","B.Strange","JAX",60,46,0.522745846858953,0.633333333333333,540,6.9,5.3695652173913,3
"00-0037252","G.Dulcich","MIA",34,26,0.515034949748099,0.588235294117647,335,4.6969696969697,7.65384615384615,1
"00-0039410","R.Flournoy","DAL",56,40,0.511336304828141,0.571428571428571,475,8.32142857142857,5.1,4
"00-0032464","K.Raymond","DET",30,24,0.506836100594774,0.666666666666667,289,5.63333333333333,6.54166666666667,1
"00-0039916","R.Pearsall","SF",53,36,0.503905667581132,0.622641509433962,528,14.1132075471698,2.05555555555556,0
"00-0040735","L.Burden","CHI",60,47,0.501177401340586,0.583333333333333,652,7.66666666666667,7.1063829787234,2
"00-0036628","J.Bates","WAS",16,11,0.487795246754104,0.625,103,3,6.18181818181818,1
"00-0039491","J.Coker","CAR",45,33,0.485683472798625,0.622222222222222,394,10.1162790697674,3.09090909090909,3
"00-0036912","D.Smith","PHI",114,77,0.476925808084485,0.535087719298246,1008,11.9911504424779,3.80519480519481,4
"00-0036422","A.Trautman","DEN",23,20,0.469195228641974,0.652173913043478,195,4.60869565217391,5.2,1
"00-0040131","K.Williams","NE",21,10,0.468457025616414,0.428571428571429,209,19.047619047619,7.9,3
"00-0040648","T.Horton","SEA",22,13,0.465717073472175,0.545454545454545,161,15.3181818181818,2.53846153846154,5
"00-0040009","S.Williams","GB",10,10,0.462500496424036,0.5,78,1.7,6.1,1
"00-0037004","H.Long","JAX",17,12,0.456984611077453,0.588235294117647,85,3.88235294117647,2.58333333333333,2
"00-0035406","L.Humphrey","DEN",15,9,0.445546079399086,0.6,101,8.73333333333333,3,1
