"rusher_player_id","rusher_player_name","posteam","rushing_plays","avg_rushing_epa","avg_yards_per_rush","rushing_success_rate","rushing_yards","rushing_touchdowns"
"00-0033280","C.McCaffrey","SF",337,-0.0770433254662062,3.81305637982196,0.391691394658754,1285,10
"00-0035700","J.Jacobs","GB",253,-0.0776011270931442,3.88932806324111,0.430830039525692,984,13
"00-0040719","B.Tuten","JAX",88,-0.0796155993863518,4.06818181818182,0.477272727272727,358,5
"00-0037263","T.Allgeier","ATL",143,-0.0808023820475272,3.59440559440559,0.398601398601399,514,8
"00-0039874","J.Wright","MIA",70,-0.0814145682975179,4.11428571428571,0.471428571428571,288,2
"00-0033699","A.Ekeler","WAS",14,-0.0832390766175065,3.07142857142857,0.357142857142857,43,0
"00-0033553","J.Conner","ARI",32,-0.0868606901512976,2.96875,0.34375,95,1
NA,NA,"NO",962,-0.0879191914014472,3.96174282678002,0.46652719665272,NA,21
"00-0034844","S.Barkley","PHI",307,-0.0893820430765163,4.06514657980456,0.384364820846906,1246,7
"00-0035261","T.Pollard","TEN",242,-0.0896458122746416,4.47107438016529,0.392561983471074,1082,5
NA,NA,"MIN",861,-0.0910968807093338,3.38663484486873,0.45710928319624,NA,22
"00-0038120","B.Hall","NYJ",243,-0.0916321379047054,4.38271604938272,0.407407407407407,1065,4
"00-0035243","M.Sanders","DAL",20,-0.0943699113646289,5.85,0.45,117,1
"00-0040644","T.Etienne","CAR",21,-0.0958467565554505,4.66666666666667,0.333333333333333,98,0
"00-0038738","H.Luepke","DAL",16,-0.0998775712059775,4.4375,0.5625,71,0
"00-0039391","K.Vidal","LAC",166,-0.100980799306707,4.06024096385542,0.349397590361446,674,3
"00-0036555","C.Hubbard","CAR",148,-0.101183546378405,3.76351351351351,0.418918918918919,557,3
"00-0036972","M.Jones","SF",37,-0.106123418332363,1.81081081081081,0.405405405405405,67,0
"00-0040784","Q.Judkins","CLE",231,-0.108670436919921,3.58874458874459,0.333333333333333,827,7
NA,NA,"LV",893,-0.110227743719648,3.29445727482679,0.472253680634202,NA,23
"00-0037197","I.Pacheco","KC",118,-0.115621973529075,3.91525423728814,0.347457627118644,462,1
"00-0040715","C.Skattebo","NYG",102,-0.118596339720963,4.03921568627451,0.411764705882353,410,6
NA,NA,"TEN",969,-0.122272965627647,2.98835978835979,0.426195426195426,NA,20
"00-0037267","J.Ford","CLE",24,-0.125706701393938,3.04166666666667,0.333333333333333,73,0
"00-0036875","R.Stevenson","NE",189,-0.136449622008217,4.34920634920635,0.35978835978836,820,7
"00-0040198","O.Gordon","MIA",70,-0.136731197137878,2.84285714285714,0.4,199,3
"00-0040202","D.Neal","NO",57,-0.138041950241977,3.6140350877193,0.350877192982456,206,2
"00-0023459","A.Rodgers","PIT",21,-0.140533670176186,2.9047619047619,0.238095238095238,61,1
"00-0036906","K.Herbert","NYJ",16,-0.141580155826887,3.25,0.3125,52,0
"00-0040238","L.Allen","JAX",24,-0.147076228475877,4.04166666666667,0.25,97,0
"00-0038685","C.Brooks","GB",28,-0.14856635801449,4.35714285714286,0.392857142857143,122,0
"00-0040583","W.Marks","HOU",229,-0.154888226328183,3.63318777292576,0.362445414847162,832,3
"00-0038705","E.Demercado","ARI",44,-0.156850589331905,7.09090909090909,0.318181818181818,312,0
"00-0040730","R.Harvey","DEN",166,-0.160495569696658,3.59638554216867,0.355421686746988,597,7
"00-0037617","H.Haskins","LAC",17,-0.16984018740614,2.76470588235294,0.176470588235294,47,0
"00-0033077","D.Prescott","DAL",53,-0.177946126448859,3.33962264150943,0.415094339622642,177,2
"00-0029604","K.Cousins","ATL",14,-0.178029897292228,0.5,0.357142857142857,7,1
"00-0037801","K.Turpin","DAL",17,-0.18673416508211,5.23529411764706,0.411764705882353,89,0
"00-0036328","A.Gibson","NE",25,-0.18806073670974,4.24,0.44,106,1
"00-0040586","J.Blue","DAL",38,-0.197043038325654,3.39473684210526,0.289473684210526,129,1
"00-0037157","Z.Knight","ARI",83,-0.197440151924845,3.24096385542169,0.373493975903614,269,4
"00-0037745","V.Jones","SEA",10,-0.204360434575938,4.2,0.3,42,0
"00-0033319","N.Mullens","JAX",12,-0.204991021373038,-0.666666666666667,0,-8,0
"00-0039361","B.Irving","TB",173,-0.205649781529785,3.39884393063584,0.346820809248555,588,1
NA,NA,"CLE",948,-0.206912017718996,3.02804746494067,0.389183457051962,NA,19
"00-0039405","J.Jordan","HOU",43,-0.209182203284188,4.48837209302326,0.255813953488372,193,0
"00-0033906","A.Kamara","NO",131,-0.21965627940333,3.59541984732824,0.320610687022901,471,1
"00-0040078","B.Smith","KC",44,-0.221458247730466,3.43181818181818,0.295454545454545,151,0
"00-0037258","D.Pierce","HOU",10,-0.232207993615884,2.6,0.2,26,0
"00-0040122","A.Jeanty","LV",267,-0.244123735477325,3.65168539325843,0.318352059925094,975,5
"00-0036842","K.Nwangwu","NYJ",13,-0.244790727312927,3.76923076923077,0.384615384615385,49,0
"00-0040208","T.Brooks","CIN",16,-0.254448928986676,2.8125,0.25,45,0
"00-0039746","W.Shipley","PHI",14,-0.257106702656147,3.5,0.285714285714286,49,0
"00-0040162","D.Sampson","CLE",65,-0.2588099568317,2.69230769230769,0.261538461538462,175,0
"00-0033357","T.Hill","NO",52,-0.273437552614634,2.19230769230769,0.365384615384615,114,1
"00-0040142","K.Johnson","PIT",28,-0.27562277457872,2.46428571428571,0.25,69,0
"00-0038440","Z.Scott","MIN",32,-0.281238684876371,3.5625,0.40625,114,0
"00-0037594","J.Chestnut","TEN",11,-0.294454133315205,3.63636363636364,0.363636363636364,40,0
"00-0032950","C.Wentz","MIN",11,-0.295297156008798,5.18181818181818,0.272727272727273,57,0
"00-0037276","T.Chandler","MIN",17,-0.32390114710228,2.76470588235294,0.176470588235294,47,0
"00-0040398","B.Cook","NYJ",13,-0.32987228446067,3.76923076923077,0.461538461538462,49,0
"00-0033854","D.Ogunbowale","HOU",11,-0.332885968587437,2.27272727272727,0.272727272727273,25,1
"00-0034869","S.Darnold","SEA",40,-0.368311821018608,2.725,0.45,109,0
"00-0036212","T.Tagovailoa","MIA",20,-0.373499343140402,2.15,0.15,43,0
"00-0040705","C.Dike","TEN",11,-0.384968864408703,1.63636363636364,0.181818181818182,18,0
"00-0035628","D.Johnson","NE",13,-0.389792385802139,1.92307692307692,0.0769230769230769,25,0
"00-0026300","J.Johnson","WAS",12,-0.399943733636367,4.58333333333333,0.416666666666667,55,1
"00-0039299","G.Holani","SEA",27,-0.402526519370198,3.07407407407407,0.222222222222222,83,1
"00-0038397","E.Hull","NO",19,-0.406207597933979,2.52631578947368,0.157894736842105,48,0
"00-0031687","R.Mostert","LV",22,-0.411602066623911,4.72727272727273,0.318181818181818,104,0
"00-0039794","B.Allen","NYJ",19,-0.457873327082391,4,0.315789473684211,76,1
"00-0038040","Z.White","LV",12,-0.630961184787642,2.66666666666667,0.0833333333333333,32,0
"00-0040009","S.Williams","GB",11,-0.635747284109874,3.36363636363636,0.272727272727273,37,0
"00-0033949","J.Dobbs","NE",10,-0.663265348016284,-0.5,0,-5,0
"00-0033106","J.Goff","DET",19,-0.75916542476058,2.36842105263158,0.368421052631579,45,0
"00-0026498","M.Stafford","LA",34,-0.932811812991585,0.470588235294118,0.0882352941176471,16,0
